,Plot_Idnum,Year,Fert_st_x,Tillage_st_x,Yield_bu_ac,mach_cost,diesel_cost,labor_cost,P_cost,K_cost,input_cost,Value,income_per_ac,profit,roi
0,101,1970,Control,Conv,55.4,24.7861750155867,1.90766277333333,5.64568724262529,0.0,0.0,32.33952503154532,1.33,73.682,41.34247496845468,127.83884404031139
1,106,1970,Control,Alt,31.5,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,41.895,39.172902451795096,1439.0704873022542
2,111,1970,Control,Chisel,55.9,24.3775754806316,1.77857280979374,4.89649651669924,0.0,0.0,31.05264480712458,1.33,74.34700000000001,43.29435519287543,139.42244038080185
3,116,1970,Control,No_till,35.4,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,47.082,44.359902451795094,1629.622071444438
4,201,1970,Control,Conv,90.8,24.7861750155867,1.90766277333333,5.64568724262529,0.0,0.0,32.33952503154532,1.33,120.764,88.42447496845467,273.4253978133623
5,206,1970,Control,Alt,30.4,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,40.432,37.709902451795095,1385.3251686980484
6,211,1970,Control,Chisel,50.7,24.3775754806316,1.77857280979374,4.89649651669924,0.0,0.0,31.05264480712458,1.33,67.43100000000001,36.37835519287543,117.15058546165751
7,216,1970,Control,No_till,78.6,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,104.538,101.81590245179508,3740.3473111732433
8,301,1970,Control,Conv,73.7,24.7861750155867,1.90766277333333,5.64568724262529,0.0,0.0,32.33952503154532,1.33,98.02100000000002,65.6814749684547,203.09968963485468
9,306,1970,Control,Alt,56.7,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,75.411,72.68890245179509,2670.326877144057
10,311,1970,Control,Chisel,46.8,24.3775754806316,1.77857280979374,4.89649651669924,0.0,0.0,31.05264480712458,1.33,62.244,31.19135519287542,100.4466942722992
11,316,1970,Control,No_till,68.4,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,90.97200000000001,88.2499024517951,3241.981629570609
12,401,1970,Control,Conv,47.1,24.7861750155867,1.90766277333333,5.64568724262529,0.0,0.0,32.33952503154532,1.33,62.64300000000001,30.303474968454687,93.70414357939832
