"","Year","rep","Treatment_num","fert","tillage","Treatment_st","Fert_st","Tillage_st","old_plot_num","Plot_Idnum","yield_bu_ac","yield_kg_ha","Crop","Rotation","mach_cost","diesel_gal","diesel_cost","labor_hrs","labor_cost","N_cost","P_cost","K_cost","Fert_cost","Herb_cost","Lime_cost","Total_overhead","Crop_rev","Profit","cum.profit.cont","cum.profit.rot"
"20",1970,1,20,5,4,"NT_NPKwNPK","NPKplusNPKst","No_till","105_4",120,86.3,5416.8,"Corn","CC",5.25248111869785,0.905714285,1.29909580809828,0.275882352,3.58541273658152,NA,33.0187134502924,42.0988596491228,NA,23.4921804856512,Inf,NA,NA,NA,0,0
"21",1970,2,1,1,1,"CT_ctrl","Control","Conv","201_1",201,90.8,5699.3,"Corn","CC",24.7861750155867,1.33,1.90766277333333,0.434411765,5.64568724262529,NA,0,0,NA,0,Inf,NA,NA,NA,0,0
"22",1970,2,2,2,1,"CT_N","N_only","Conv","202_1",202,85.7,5379.2,"Corn","CC",26.4930666212865,1.701428571,2.44041499728002,0.547352941,7.11348947056518,NA,0,0,NA,0,Inf,NA,NA,NA,0,0
"23",1970,2,3,3,1,"CT_NwNPK","NplusNPKst","Conv","203_1",203,115.8,7268.5,"Corn","CC",26.4930666212865,1.701428571,2.44041499728002,0.547352941,7.11348947056518,NA,33.0187134502924,8.41977192982456,NA,0,Inf,NA,NA,NA,0,0
"24",1970,2,4,4,1,"CT_NPK","NPK","Conv","204_1",204,101,6339.5,"Corn","CC",28.1999582269864,2.072857142,2.97316722122671,0.660294117,8.58129169850506,NA,33.0187134502924,42.0988596491228,NA,0,Inf,NA,NA,NA,0,0
"25",1970,2,5,5,1,"CT_NPKwNPK","NPKplusNPKst","Conv","205_1",205,111.6,7004.9,"Corn","CC",28.1999582269864,2.072857142,2.97316722122671,0.660294117,8.58129169850506,NA,33.0187134502924,42.0988596491228,NA,0,Inf,NA,NA,NA,0,0
"26",1970,2,6,1,2,"AT_ctrl","Control","Alt","201_2",206,30.4,1908.1,"Corn","CC",1.83869790729825,0.162857143,0.233591360204905,0.05,0.649808280701754,NA,0,0,NA,23.4921804856512,Inf,NA,NA,NA,0,0
"27",1970,2,7,2,2,"AT_N","N_only","Alt","202_2",207,79.9,5015.1,"Corn","CC",3.54558951299805,0.534285714,0.766343584151594,0.162941176,2.11761050864164,NA,0,0,NA,23.4921804856512,Inf,NA,NA,NA,0,0
"28",1970,2,8,3,2,"AT_NwNPK","NplusNPKst","Alt","203_2",208,99.9,6270.5,"Corn","CC",3.54558951299805,0.534285714,0.766343584151594,0.162941176,2.11761050864164,NA,33.0187134502924,8.41977192982456,NA,23.4921804856512,Inf,NA,NA,NA,0,0
"29",1970,2,9,4,2,"AT_NPK","NPK","Alt","204_2",209,98.4,6176.3,"Corn","CC",5.25248111869785,0.905714285,1.29909580809828,0.275882352,3.58541273658152,NA,33.0187134502924,42.0988596491228,NA,23.4921804856512,Inf,NA,NA,NA,0,0
